Entry ID,EU message ID,[DE entry name pos.],[DE entry name size],DE entry name,[ES entry name pos.],[ES entry name size],ES entry name,[FR entry name pos.],[FR entry name size],FR entry name,[GB entry name pos.],[GB entry name size],GB entry name,Element ID,Pad. #0,[Element name],Order by prio.,Occ. flags,[M],[B],[S],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #1,Pad. #2,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #3,Pad. #4,Pad. #5,Ship occ. ID,[Ship occ. name],Pad. #6,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #7,Pad. #8,Pad. #9,[DE descr. pos.],[DE descr. size],DE descr. str.,[ES descr. pos.],[ES descr. size],ES descr. str.,[FR descr. pos.],[FR descr. size],FR descr. str.,[GB descr. pos.],[GB descr. size],GB descr. str.,[DE ship descr. pos.],[DE ship descr. size],DE ship descr. str.,[ES ship descr. pos.],[ES ship descr. size],ES ship descr. str.,[FR ship descr. pos.],[FR ship descr. size],FR ship descr. str.,[GB ship descr. pos.],[GB ship descr. size],GB ship descr. str.
25,0x8034fb60,0x1cce7,6,Pyrum,0x1c93a,6,Pyrum,0x1cbaa,6,Pyrum,0x1c3a1,6,Pyrum,1,0,Red,2,0x3,"",X,X,0,Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,1,0,0,0,0x11944,97,Lässt Feuerbälle vom Himmel kommen und schädigt\\nalle Feinde auf dem Bildschirm.                ,0x11651,89,Hace surgir bolas de fuego del cielo y\\nhiere a todos los enemigos en pantalla.         ,0x11684,97,Invoque des boules de feu tombant des cieux et\\nblesse tous les ennemis à l'écran.              ,0x1128d,92,Summons fireballs from the sky and damages\\nall enemies on the screen.                     ,0x1bc7a,98,Feuert eine mit Red Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.                ,0x1b84a,99,Dispara una bala de cañón con Magia Roja. Lanzar\\nhechizos requiere un equipo especial.           ,0x1ba38,98,Lance un boulet de canon chargé de Magie Rouge.\\nÉquipement spécial requis.                      ,0x1b34e,93,Fires a cannonball charged with Red Magic.\\nSpecial equipment is needed to cast.            
26,0x802c6398,0x1cced,9,Crystali,0x1c940,9,Crystali,0x1cbb0,9,Crystali,0x1c3a7,9,Crystali,2,0,Purple,10,0x3,"",X,X,0,Damage,3,One enemy,6,Magic,0,1,0,0,60,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),1,-1,30,2,0,0,0,0x119a5,97,Überzieht einen Feind mit einer Eisschicht.Sehr\\nwirkungsvoll und verbraucht wenig Spirit.      ,0x116aa,99,Cubre de hielo a un solo enemigo. Tiene bastante\\npotencia y usa muy poco Espíritu.               ,0x116e5,97,Emprisonne un seul ennemi dans la glace. C'est\\nassez puissant et nécessite peu d'Esprit.       ,0x112e9,92,Encases a single enemy in ice. It is quite\\npowerful and uses very little Spirit.          ,0x1bcdc,88,Feuert eine mit Purple Magic geladene\\nKanonenkugel ab. Erfordert Spezialausrüstung.   ,0x1b8ad,95,Dispara una bala de cañón con Magia Púrpura.\\nLanzar hechizos requiere un equipo especial.    ,0x1ba9a,98,Lance un boulet de canon chargé de Magie Mauve.\\nÉquipement spécial requis.                      ,0x1b3ab,96,Fires a cannonball charged with Purple Magic.\\nSpecial equipment is needed to cast.            
27,0x802c63a4,0x1ccf6,10,Crystales,0x1c949,10,Crystales,0x1cbb9,10,Crystales,0x1c3b0,10,Crystales,2,0,Purple,11,0x3,"",X,X,0,Damage,3,One enemy,6,Magic,0,2,0,0,110,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,50,2,0,0,0,0x11a06,95,Erzeugt einen Eiszapfen am Fuß eines Feindes.\\nRichtet erheblichen Schaden an.                ,0x1170d,99,"Crea un punzón de hielo a los pies de un enemigo\\ny lo atraviesa, produciendo gran daño.          ",0x11746,97,"Invoque un rocher de glace sur un seul ennemi,\\ncausant beaucoup de dégâts.                     ",0x11345,97,"Summons an icicle at the foot of a single enemy\\nand impales it, causing great damage.          ",0x1bd34,88,Feuert eine mit Purple Magic geladene\\nKanonenkugel ab. Erfordert Spezialausrüstung.   ,0x1b90c,95,Dispara una bala de cañón con Magia Púrpura.\\nLanzar hechizos requiere un equipo especial.    ,0x1bafc,98,Lance un boulet de canon chargé de Magie Mauve.\\nÉquipement spécial requis.                      ,0x1b40b,96,Fires a cannonball charged with Purple Magic.\\nSpecial equipment is needed to cast.            
28,0x802c63b0,0x1cd00,10,Crystalum,0x1c953,10,Crystalum,0x1cbc3,10,Crystalum,0x1c3ba,10,Crystalum,2,0,Purple,12,0x3,"",X,X,0,Damage,3,One enemy,6,Magic,0,3,0,0,160,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),3,-1,70,2,0,0,0,0x11a65,95,Lässt einen Feind zu einer Eissäule erstarren\\nund richtet so erheblichen Schaden an.         ,0x11770,88,Atrapa a un enemigo en una columna de\\nhielo y le produce grandes daños.               ,0x117a7,96,"Emprisonne un seul ennemi dans une colonne de\\nglace, causant beaucoup de dégâts.              ",0x113a6,98,"Traps a single enemy in a column of ice, causing\\nan extensive amount of damage.                 ",0x1bd8c,88,Feuert eine mit Purple Magic geladene\\nKanonenkugel ab. Erfordert Spezialausrüstung.   ,0x1b96b,95,Dispara una bala de cañón con Magia Púrpura.\\nLanzar hechizos requiere un equipo especial.    ,0x1bb5e,98,Lance un boulet de canon chargé de Magie Mauve.\\nÉquipement spécial requis.                      ,0x1b46b,96,Fires a cannonball charged with Purple Magic.\\nSpecial equipment is needed to cast.            
29,0x802c63bc,0x1cd0a,10,Crystalen,0x1c95d,10,Crystalen,0x1cbcd,10,Crystalen,0x1c3c4,10,Crystalen,2,0,Purple,13,0x3,"",X,X,0,Damage,3,One enemy,6,Magic,0,4,0,0,210,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,2,0,0,0,0x11ac4,91,Riesige Eissäulen durchbohren einen Feind\\nund richten erheblichen Schaden an.            ,0x117c8,92,"Enormes columnas de hielo caen del cielo,\\natraviesan a un enemigo y producen daños.       ",0x11807,91,Grands pilliers de grêle tombant du ciel\\npour causer beaucoup de dégâts.                 ,0x11408,97,Huge pillars of ice rain from the sky to impale\\none enemy for enormous damage.                 ,0x1bde4,88,Feuert eine mit Purple Magic geladene\\nKanonenkugel ab. Erfordert Spezialausrüstung.   ,0x1b9ca,95,Dispara una bala de cañón con Magia Púrpura.\\nLanzar hechizos requiere un equipo especial.    ,0x1bbc0,98,Lance un boulet de canon chargé de Magie Mauve.\\nÉquipement spécial requis.                      ,0x1b4cb,96,Fires a cannonball charged with Purple Magic.\\nSpecial equipment is needed to cast.            
30,0x8034fb68,0x1cd14,8,Pyrulen,0x1c967,8,Pyrulen,0x1cbd7,8,Pyrulen,0x1c3ce,8,Pyrulen,1,0,Red,3,0x3,"",X,X,0,Damage,4,All enemies,6,Magic,0,10,0,0,135,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),10,-1,150,1,0,0,0,0x11b1f,96,Entzündet die Luft und setzt alle Feinde auf \\ndem Bildschirm einem Feuersturm aus.            ,0x11824,92,Arde el aire y rodea a todos los enemigos\\nen una cortina de fuego.                        ,0x11862,95,Enflamme l'air et engouffre tous les ennemis\\nà l'écran dans une tempête de feu.              ,0x11469,97,Sets the air aflame and engulfs all enemies on\\nscreen in a firestorm.                          ,0x1be3c,98,Feuert eine mit Red Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.                ,0x1ba29,99,Dispara una bala de cañón con Magia Roja. Lanzar\\nhechizos requiere un equipo especial.           ,0x1bc22,98,Lance un boulet de canon chargé de Magie Rouge.\\nÉquipement spécial requis.                      ,0x1b52b,93,Fires a cannonball charged with Red Magic.\\nSpecial equipment is needed to cast.            
31,0x8034fb70,0x1cd1c,7,Wevlum,0x1c96f,7,Wevlum,0x1cbdf,7,Wevlum,0x1c3d6,7,Wevlum,3,0,Blue,62,0x3,"",X,X,0,Damage,33,Enemy area #1,6,Magic,0,6,0,0,150,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,4,0,0,0,0x11b7f,96,"Erzeugt heftige Winde und stechenden Regen, um\\nFeinde in einem großen Gebiet zu schädigen.    ",0x11880,95,Crea una zona de fuertes vientos y punzantes\\nlluvias que causan danos al enemigo.            ,0x118c1,97,Invoque la force des vents et de la pluie pour\\nblesser les ennemis sur une large surface.      ,0x114ca,94,Summons a field of fierce winds and stinging\\nrain to damage enemies in a large area.        ,0x1be9e,99,Feuert eine mit Blue Magic geladene Kanonenkugel\\nab. Erfordert Spezialausrüstung.                ,0x1ba8c,99,Dispara una bala de cañón con Magia Azul. Lanzar\\nhechizos requiere un equipo especial.           ,0x1bc84,98,Lance un boulet de canon chargé de Magie Bleue.\\nÉquipement spécial requis.                      ,0x1b588,94,Fires a cannonball charged with Blue Magic.\\nSpecial equipment is needed to cast.            
32,0x8034fb78,0x1cd23,8,Electri,0x1c976,8,Electri,0x1cbe6,8,Electri,0x1c3dd,8,Electri,4,0,Yellow,30,0x3,"",X,X,0,Damage,36,Enemy line #0,6,Magic,0,2,0,0,60,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),2,-1,60,3,0,0,0,0x11bdf,94,"Schädigt einen Feind und alle Feinde, die im\\nWeg stehen, mit einem Stromstoß.               ",0x118df,96,Dispara una descarga de electricidad sobre un\\nobjetivo y hiere a quienes haya en medio.       ,0x11922,96,"Envoie une décharge électrique sur une cible,\\nblessant au passage tous les ennemis.           ",0x11528,96,"Shoots a bolt of electricity at a target, also\\ndamaging any enemies in the way.               ",0x1bf01,97,Feuert eine mit Yellow Magic geladene Kanonen-\\nkugel ab. Erfordert Spezialausrüstung.          ,0x1baef,96,Dispara una bala de cañón con Magia Amarilla.\\nLanzar hechizos requiere un equipo especial.    ,0x1bce6,98,Lance un boulet de canon chargé de Magie Jaune.\\nÉquipement spécial requis.                      ,0x1b5e6,96,Fires a cannonball charged with Yellow Magic.\\nSpecial equipment is needed to cast.            
33,0x802c63c8,0x1cd2b,9,Electres,0x1c97e,9,Electres,0x1cbee,9,Electres,0x1c3e5,9,Electres,4,0,Yellow,31,0x3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,4,0,0,105,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),4,-1,90,3,0,0,0,0x11c3d,91,"Schädigt alle Feinde, die auf einer Linie\\nstehen, mit einem Blitzschlag.                 ",0x1193f,90,Envía un relámpago a través de una fila\\nde enemigos produciendo un gran daño.           ,0x11982,96,"Envoie un éclair sur une brochette d'ennemis,\\ncausant d'importants dégâts.                    ",0x11588,98,Sends a lightning bolt through a line of enemies\\ncausing major damage.                          ,0x1bf62,97,Feuert eine mit Yellow Magic geladene Kanonen-\\nkugel ab. Erfordert Spezialausrüstung.          ,0x1bb4f,96,Dispara una bala de cañón con Magia Amarilla.\\nLanzar hechizos requiere un equipo especial.    ,0x1bd48,98,Lance un boulet de canon chargé de Magie Jaune.\\nÉquipement spécial requis.                      ,0x1b646,96,Fires a cannonball charged with Yellow Magic.\\nSpecial equipment is needed to cast.            
34,0x802c63d4,0x1cd34,9,Electrum,0x1c987,9,Electrum,0x1cbf7,9,Electrum,0x1c3ee,9,Electrum,4,0,Yellow,32,0x3,"",X,X,0,Damage,37,Enemy line #1,6,Magic,0,6,0,0,150,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),6,-1,120,3,0,0,0,0x11c98,91,"Schädigt alle Feinde, die auf einer Linie\\nstehen, mit einem starken Stromschlag.         ",0x11999,90,Dispara una enorme descarga eléctrica y\\nhiere a todos los enemigos en línea recta.      ,0x119e2,93,Une énorme décharge électrique est envoyée\\nsur la brochette d'ennemis.                     ,0x115ea,95,A massive bolt of electricity is shot out and\\nhits all enemies in a straight line.           ,0x1bfc3,97,Feuert eine mit Yellow Magic geladene Kanonen-\\nkugel ab. Erfordert Spezialausrüstung.          ,0x1bbaf,96,Dispara una bala de cañón con Magia Amarilla.\\nLanzar hechizos requiere un equipo especial.    ,0x1bdaa,98,Lance un boulet de canon chargé de Magie Jaune.\\nÉquipement spécial requis.                      ,0x1b6a6,96,Fires a cannonball charged with Yellow Magic.\\nSpecial equipment is needed to cast.            
35,0x802c63e0,0x1cd3d,11,Electrulen,0x1c990,11,Electrulen,0x1cc00,11,Electrulen,0x1c3f7,11,Electrulen,4,0,Yellow,33,0x3,"",X,X,0,Damage,38,Enemy line #2,6,Magic,0,8,0,0,195,1,Magical,-1,None,0,0,0,0,0,Magic Cannon,0,107,Damage (Ship),8,-1,150,3,0,0,0,0x11cf3,96,Ultimativer Angriffszauber. Fügt allen Feinden\\nauf einer Linie erheblichen Schaden zu.        ,0x119f3,99,El más poderoso hechizo de ataque. Produce mucho\\ndaño a todos los enemigos en línea recta.       ,0x11a3f,91,L'ultime sortilège d'attaque. Il causera\\nd'énormes dégâts sur les ennemis alignés.       ,0x11649,96,The ultimate attack spell. It will cause major\\ndamage on all enemies in a straight line.      ,0x1c024,97,Feuert eine mit Yellow Magic geladene Kanonen-\\nkugel ab. Erfordert Spezialausrüstung.          ,0x1bc0f,96,Dispara una bala de cañón con Magia Amarilla.\\nLanzar hechizos requiere un equipo especial.    ,0x1be0c,98,Lance un boulet de canon chargé de Magie Jaune.\\nÉquipement spécial requis.                      ,0x1b706,96,Fires a cannonball charged with Yellow Magic.\\nSpecial equipment is needed to cast.            
