Entry ID,Magic EXP,Chara. #0 ID,[Chara. #0 name],Chara. #0 X,Chara. #0 Z,Chara. #1 ID,[Chara. #1 name],Chara. #1 X,Chara. #1 Z,Chara. #2 ID,[Chara. #2 name],Chara. #2 X,Chara. #2 Z,Chara. #3 ID,[Chara. #3 name],Chara. #3 X,Chara. #3 Z,Enemy #0 ID,[JP enemy #0 name],[EU enemy #0 name],Enemy #0 X,Enemy #0 Z,Enemy #1 ID,[JP enemy #1 name],[EU enemy #1 name],Enemy #1 X,Enemy #1 Z,Enemy #2 ID,[JP enemy #2 name],[EU enemy #2 name],Enemy #2 X,Enemy #2 Z,Enemy #3 ID,[JP enemy #3 name],[EU enemy #3 name],Enemy #3 X,Enemy #3 Z,Enemy #4 ID,[JP enemy #4 name],[EU enemy #4 name],Enemy #4 X,Enemy #4 Z,Enemy #5 ID,[JP enemy #5 name],[EU enemy #5 name],Enemy #5 X,Enemy #5 Z,Enemy #6 ID,[JP enemy #6 name],[EU enemy #6 name],Enemy #6 X,Enemy #6 Z,Party vigor,Defeat cond. ID,[Defeat cond. name],Escape cond. ID,[Escape cond. name],BGM ID
78,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,199,Rupee,Rupee,5,2,209,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,58,1,May try again,1,Cannot escape,-1
79,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,200,Rupee,Rupee,5,2,210,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,82,1,May try again,1,Cannot escape,-1
80,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,201,Rupee,Rupee,5,2,211,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,102,1,May try again,1,Cannot escape,-1
81,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,202,Rupee,Rupee,5,2,212,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,122,1,May try again,1,Cannot escape,-1
82,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,198,Rupee,Rupee,5,2,208,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,42,1,May try again,1,Cannot escape,-1
83,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,199,Rupee,Rupee,5,2,209,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,58,1,May try again,1,Cannot escape,-1
84,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,200,Rupee,Rupee,5,2,210,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,82,1,May try again,1,Cannot escape,-1
85,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,201,Rupee,Rupee,5,2,211,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,102,1,May try again,1,Cannot escape,-1
86,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,202,Rupee,Rupee,5,2,212,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,122,1,May try again,1,Cannot escape,-1
87,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,198,Rupee,Rupee,5,2,208,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,42,1,May try again,1,Cannot escape,-1
88,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,199,Rupee,Rupee,5,2,209,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,58,1,May try again,1,Cannot escape,-1
89,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,200,Rupee,Rupee,5,2,210,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,82,1,May try again,1,Cannot escape,-1
90,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,201,Rupee,Rupee,5,2,211,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,102,1,May try again,1,Cannot escape,-1
91,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,202,Rupee,Rupee,5,2,212,Barta,Barta,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,122,1,May try again,1,Cannot escape,-1
92,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,233,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,118,1,May try again,1,Cannot escape,-1
93,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,234,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
94,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,235,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
95,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,236,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
96,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,237,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
97,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,233,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,118,1,May try again,1,Cannot escape,-1
98,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,234,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
99,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,235,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
100,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,236,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
101,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,237,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
102,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,233,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,118,1,May try again,1,Cannot escape,-1
103,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,234,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
104,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,235,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
105,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,236,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
106,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,237,Gunarm,Gunarm,4,1,254,Frock,Frock,4,5,254,Frock,Frock,6,5,254,Frock,Frock,5,5,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
107,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,178,Tara,Tara,5,4,183,Lira,Lira,6,2,188,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,118,1,May try again,1,Cannot escape,-1
108,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,179,Tara,Tara,5,4,184,Lira,Lira,6,2,189,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
109,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,180,Tara,Tara,5,4,185,Lira,Lira,6,2,190,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
110,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,181,Tara,Tara,5,4,186,Lira,Lira,6,2,191,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
111,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,182,Tara,Tara,5,4,187,Lira,Lira,6,2,192,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
112,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,178,Tara,Tara,5,4,183,Lira,Lira,6,2,188,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,118,1,May try again,1,Cannot escape,-1
113,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,179,Tara,Tara,5,4,184,Lira,Lira,6,2,189,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
114,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,180,Tara,Tara,5,4,185,Lira,Lira,6,2,190,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
115,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,181,Tara,Tara,5,4,186,Lira,Lira,6,2,191,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
116,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,182,Tara,Tara,5,4,187,Lira,Lira,6,2,192,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
117,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,178,Tara,Tara,5,4,183,Lira,Lira,6,2,188,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,118,1,May try again,1,Cannot escape,-1
118,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,179,Tara,Tara,5,4,184,Lira,Lira,6,2,189,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
119,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,180,Tara,Tara,5,4,185,Lira,Lira,6,2,190,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
120,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,181,Tara,Tara,5,4,186,Lira,Lira,6,2,191,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
121,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,182,Tara,Tara,5,4,187,Lira,Lira,6,2,192,Pera,Pera,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
122,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,213,Vize,Vize,5,4,218,Anita,Anita,6,2,223,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,150,1,May try again,1,Cannot escape,-1
123,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,214,Vize,Vize,5,4,219,Anita,Anita,6,2,224,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
124,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,215,Vize,Vize,5,4,220,Anita,Anita,6,2,225,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
125,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,216,Vize,Vize,5,4,221,Anita,Anita,6,2,226,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
126,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,217,Vize,Vize,5,4,222,Anita,Anita,6,2,227,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
127,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,213,Vize,Vize,5,4,218,Anita,Anita,6,2,223,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,150,1,May try again,1,Cannot escape,-1
128,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,214,Vize,Vize,5,4,219,Anita,Anita,6,2,224,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
129,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,215,Vize,Vize,5,4,220,Anita,Anita,6,2,225,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
130,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,216,Vize,Vize,5,4,221,Anita,Anita,6,2,226,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
131,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,217,Vize,Vize,5,4,222,Anita,Anita,6,2,227,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
132,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,213,Vize,Vize,5,4,218,Anita,Anita,6,2,223,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,150,1,May try again,1,Cannot escape,-1
133,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,214,Vize,Vize,5,4,219,Anita,Anita,6,2,224,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,162,1,May try again,1,Cannot escape,-1
134,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,215,Vize,Vize,5,4,220,Anita,Anita,6,2,225,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
135,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,216,Vize,Vize,5,4,221,Anita,Anita,6,2,226,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
136,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,217,Vize,Vize,5,4,222,Anita,Anita,6,2,227,Faina,Faina,4,2,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
137,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,193,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,158,1,May try again,1,Cannot escape,-1
138,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,194,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
139,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,195,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
140,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,196,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
141,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,197,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,242,1,May try again,1,Cannot escape,-1
142,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,193,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,158,1,May try again,1,Cannot escape,-1
143,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,194,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
144,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,195,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
145,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,196,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
146,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,197,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,242,1,May try again,1,Cannot escape,-1
147,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,193,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,158,1,May try again,1,Cannot escape,-1
148,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,194,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
149,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,195,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
150,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,196,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
151,8,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,5,Gilder,7,7,197,Daikokuya,Daikokuya,4,1,248,Youjin,Youjin,3,4,250,Boo,Boo,7,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,242,1,May try again,1,Cannot escape,-1
152,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,228,Lord Bane,Lord Bane,5,2,251,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,170,1,May try again,1,Cannot escape,-1
153,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,229,Lord Bane,Lord Bane,5,2,251,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
154,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,230,Lord Bane,Lord Bane,5,2,252,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
155,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,231,Lord Bane,Lord Bane,5,2,252,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
156,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,3,Drachma,7,7,232,Lord Bane,Lord Bane,5,2,252,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,242,1,May try again,1,Cannot escape,-1
157,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,228,Lord Bane,Lord Bane,5,2,251,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,170,1,May try again,1,Cannot escape,-1
158,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,229,Lord Bane,Lord Bane,5,2,251,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,182,1,May try again,1,Cannot escape,-1
159,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,230,Lord Bane,Lord Bane,5,2,252,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,202,1,May try again,1,Cannot escape,-1
160,6,0,Vyse,4,8,1,Aika,6,8,2,Fina,3,7,4,Enrique,7,7,231,Lord Bane,Lord Bane,5,2,252,Zivilyn Bane,Zivilyn Bane,5,4,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,255,None,None,-1,-1,222,1,May try again,1,Cannot escape,-1
